Specifications of soil vegetation components and erosion parameters
id	soil_id	veg_id	musle_k[(ton acre hr)/(acre ft-ton inch)]	musle_c1[-]	musle_c2[-]	musle_c3[-]	musle_c4[-]	musle_p[-]	coarse_fraction[%]	manning_n
106913	1069	13	0.234667793352497	0.00158	0.00158	0.00158	0.00158	1.0	8.77417716716839	0.2
106916	1069	16	0.234667793352497	0.00058	0.00058	0.00058	0.00058	1.0	8.77417716716839	0.2
106917	1069	17	0.234667793352497	0.00158	0.00158	0.00158	0.00158	1.0	8.77417716716839	0.2
106918	1069	18	0.234667793352497	0.05	0.04	0.04	0.04	1.0	8.77417716716839	0.15
108610	1086	10	0.225486369735341	0.12	0.04	0.01	0.01	1.0	13.4887804658692	0.045
108612	1086	12	0.225486369735341	0.2223543	0.2223543	0.2223543	0.2223543	1.0	13.4887804658692	0.15
108613	1086	13	0.225486369735341	0.00158	0.00158	0.00158	0.00158	1.0	13.4887804658692	0.2
109910	1099	10	0.24711666411144	0.12	0.04	0.01	0.01	1.0	25.903830450072	0.045
109912	1099	12	0.24711666411144	0.2223543	0.2223543	0.2223543	0.2223543	1.0	25.903830450072	0.15
109916	1099	16	0.24711666411144	0.00058	0.00058	0.00058	0.00058	1.0	25.903830450072	0.2
109917	1099	17	0.24711666411144	0.00158	0.00158	0.00158	0.00158	1.0	25.903830450072	0.2
109918	1099	18	0.24711666411144	0.05	0.04	0.04	0.04	1.0	25.903830450072	0.15
116503	1165	3	0.244296987812582	0.22	0.22	0.22	0.22	1.0	6.92079127040088	0.15
116509	1165	9	0.244296987812582	0.25	0.04	0.37	0.11	1.0	6.92079127040088	0.2
116512	1165	12	0.244296987812582	0.2223543	0.2223543	0.2223543	0.2223543	1.0	6.92079127040088	0.15
116516	1165	16	0.244296987812582	0.00058	0.00058	0.00058	0.00058	1.0	6.92079127040088	0.2
116517	1165	17	0.244296987812582	0.00158	0.00158	0.00158	0.00158	1.0	6.92079127040088	0.2
116518	1165	18	0.244296987812582	0.05	0.04	0.04	0.04	1.0	6.92079127040088	0.15
120303	1203	3	0.232315326309102	0.22	0.22	0.22	0.22	1.0	19.2822707059965	0.15
120309	1203	9	0.232315326309102	0.25	0.04	0.37	0.11	1.0	19.2822707059965	0.2
120310	1203	10	0.232315326309102	0.12	0.04	0.01	0.01	1.0	19.2822707059965	0.045
120312	1203	12	0.232315326309102	0.2223543	0.2223543	0.2223543	0.2223543	1.0	19.2822707059965	0.15
120313	1203	13	0.232315326309102	0.00158	0.00158	0.00158	0.00158	1.0	19.2822707059965	0.2
120316	1203	16	0.232315326309102	0.00058	0.00058	0.00058	0.00058	1.0	19.2822707059965	0.2
120317	1203	17	0.232315326309102	0.00158	0.00158	0.00158	0.00158	1.0	19.2822707059965	0.2
120318	1203	18	0.232315326309102	0.05	0.04	0.04	0.04	1.0	19.2822707059965	0.15
120321	1203	21	0.232315326309102	0.0	0.0	0.0	0.0	1.0	19.2822707059965	0.0
120329	1203	29	0.232315326309102	0.05	0.05	0.05	0.05	1.0	19.2822707059965	0.045
120803	1208	3	0.217396387700964	0.22	0.22	0.22	0.22	1.0	15.0616806401551	0.15
120810	1208	10	0.217396387700964	0.12	0.04	0.01	0.01	1.0	15.0616806401551	0.045
120812	1208	12	0.217396387700964	0.2223543	0.2223543	0.2223543	0.2223543	1.0	15.0616806401551	0.15
120816	1208	16	0.217396387700964	0.00058	0.00058	0.00058	0.00058	1.0	15.0616806401551	0.2
120817	1208	17	0.217396387700964	0.00158	0.00158	0.00158	0.00158	1.0	15.0616806401551	0.2
120818	1208	18	0.217396387700964	0.05	0.04	0.04	0.04	1.0	15.0616806401551	0.15
127003	1270	3	9.48612750378575E-2	0.22	0.22	0.22	0.22	1.0	5.12281539139374	0.15
127012	1270	12	9.48612750378575E-2	0.2223543	0.2223543	0.2223543	0.2223543	1.0	5.12281539139374	0.15
127016	1270	16	9.48612750378575E-2	0.00058	0.00058	0.00058	0.00058	1.0	5.12281539139374	0.2
127018	1270	18	9.48612750378575E-2	0.05	0.04	0.04	0.04	1.0	5.12281539139374	0.15
127021	1270	21	9.48612750378575E-2	0.0	0.0	0.0	0.0	1.0	5.12281539139374	0.0
129103	1291	3	0.235662866229008	0.22	0.22	0.22	0.22	1.0	14.0251243487895	0.15
129110	1291	10	0.235662866229008	0.12	0.04	0.01	0.01	1.0	14.0251243487895	0.045
129112	1291	12	0.235662866229008	0.2223543	0.2223543	0.2223543	0.2223543	1.0	14.0251243487895	0.15
129113	1291	13	0.235662866229008	0.00158	0.00158	0.00158	0.00158	1.0	14.0251243487895	0.2
129116	1291	16	0.235662866229008	0.00058	0.00058	0.00058	0.00058	1.0	14.0251243487895	0.2
129118	1291	18	0.235662866229008	0.05	0.04	0.04	0.04	1.0	14.0251243487895	0.15
129121	1291	21	0.235662866229008	0.0	0.0	0.0	0.0	1.0	14.0251243487895	0.0
1077210	10772	10	0.226032149705802	0.12	0.04	0.01	0.01	1.0	8.67097772277228	0.045
1077213	10772	13	0.226032149705802	0.00158	0.00158	0.00158	0.00158	1.0	8.67097772277228	0.2
1077216	10772	16	0.226032149705802	0.00058	0.00058	0.00058	0.00058	1.0	8.67097772277228	0.2
1077217	10772	17	0.226032149705802	0.00158	0.00158	0.00158	0.00158	1.0	8.67097772277228	0.2
1090009	10900	9	0.231184466274699	0.25	0.04	0.37	0.11	1.0	15.9706801818871	0.2
1090010	10900	10	0.231184466274699	0.12	0.04	0.01	0.01	1.0	15.9706801818871	0.045
1090012	10900	12	0.231184466274699	0.2223543	0.2223543	0.2223543	0.2223543	1.0	15.9706801818871	0.15
1090013	10900	13	0.231184466274699	0.00158	0.00158	0.00158	0.00158	1.0	15.9706801818871	0.2
1090016	10900	16	0.231184466274699	0.00058	0.00058	0.00058	0.00058	1.0	15.9706801818871	0.2
1090017	10900	17	0.231184466274699	0.00158	0.00158	0.00158	0.00158	1.0	15.9706801818871	0.2
1090018	10900	18	0.231184466274699	0.05	0.04	0.04	0.04	1.0	15.9706801818871	0.15
1106903	11069	3	0.232173660100624	0.22	0.22	0.22	0.22	1.0	10.1789702828261	0.15
1106909	11069	9	0.232173660100624	0.25	0.04	0.37	0.11	1.0	10.1789702828261	0.2
1106910	11069	10	0.232173660100624	0.12	0.04	0.01	0.01	1.0	10.1789702828261	0.045
1106912	11069	12	0.232173660100624	0.2223543	0.2223543	0.2223543	0.2223543	1.0	10.1789702828261	0.15
1106913	11069	13	0.232173660100624	0.00158	0.00158	0.00158	0.00158	1.0	10.1789702828261	0.2
1106916	11069	16	0.232173660100624	0.00058	0.00058	0.00058	0.00058	1.0	10.1789702828261	0.2
1106917	11069	17	0.232173660100624	0.00158	0.00158	0.00158	0.00158	1.0	10.1789702828261	0.2
1106918	11069	18	0.232173660100624	0.05	0.04	0.04	0.04	1.0	10.1789702828261	0.15
1109912	11099	12	0.246857270302354	0.2223543	0.2223543	0.2223543	0.2223543	1.0	18.1772290718155	0.15
1109916	11099	16	0.246857270302354	0.00058	0.00058	0.00058	0.00058	1.0	18.1772290718155	0.2
1109917	11099	17	0.246857270302354	0.00158	0.00158	0.00158	0.00158	1.0	18.1772290718155	0.2
1109918	11099	18	0.246857270302354	0.05	0.04	0.04	0.04	1.0	18.1772290718155	0.15
1116503	11165	3	0.248444243695121	0.22	0.22	0.22	0.22	1.0	6.40947916473662	0.15
1116509	11165	9	0.248444243695121	0.25	0.04	0.37	0.11	1.0	6.40947916473662	0.2
1116512	11165	12	0.248444243695121	0.2223543	0.2223543	0.2223543	0.2223543	1.0	6.40947916473662	0.15
1116516	11165	16	0.248444243695121	0.00058	0.00058	0.00058	0.00058	1.0	6.40947916473662	0.2
1116518	11165	18	0.248444243695121	0.05	0.04	0.04	0.04	1.0	6.40947916473662	0.15
1120303	11203	3	0.233100163069407	0.22	0.22	0.22	0.22	1.0	13.0161727423726	0.15
1120310	11203	10	0.233100163069407	0.12	0.04	0.01	0.01	1.0	13.0161727423726	0.045
1120312	11203	12	0.233100163069407	0.2223543	0.2223543	0.2223543	0.2223543	1.0	13.0161727423726	0.15
1120316	11203	16	0.233100163069407	0.00058	0.00058	0.00058	0.00058	1.0	13.0161727423726	0.2
1120317	11203	17	0.233100163069407	0.00158	0.00158	0.00158	0.00158	0.0	0.0	0.2
1120318	11203	18	0.233100163069407	0.05	0.04	0.04	0.04	1.0	13.0161727423726	0.15
1120803	11208	3	0.230675889933206	0.22	0.22	0.22	0.22	1.0	10.8620860108749	0.15
1120809	11208	9	0.230675889933206	0.25	0.04	0.37	0.11	1.0	10.8620860108749	0.2
1120818	11208	18	0.230675889933206	0.05	0.04	0.04	0.04	1.0	10.8620860108749	0.15
1129103	11291	3	0.251417709661129	0.22	0.22	0.22	0.22	1.0	10.8857142857143	0.15
1129118	11291	18	0.251417709661129	0.05	0.04	0.04	0.04	1.0	10.8857142857143	0.15
